Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
MacKenzie Weegar,20202021,FLA,R,D,9,0,3,3,0,2,0.33,0,3,0,0,0,0,0,0,20,0,22:50,--
Anton Stralman,20202021,FLA,R,D,9,0,3,3,-2,2,0.33,0,3,0,0,0,0,0,0,8,0,21:09,--
Jordie Benn,20202021,VAN,L,D,9,0,3,3,2,5,0.33,0,3,0,0,0,0,0,0,9,0,15:04,--
Kale Clague,20202021,LAK,L,D,9,0,3,3,-3,4,0.33,0,3,0,0,0,0,0,0,15,0,17:59,--
Liam Foudy,20202021,CBJ,L,C,12,0,3,3,0,2,0.25,0,3,0,0,0,0,0,0,25,0,13:46,33.3
Erik Karlsson,20202021,SJS,R,D,10,0,3,3,-6,2,0.3,0,2,0,1,0,0,0,0,15,0,26:32,--
Brady Skjei,20202021,CAR,L,D,9,0,3,3,-1,8,0.33,0,2,0,0,0,1,0,0,14,0,21:00,--
Carl Grundstrom,20202021,LAK,L,R,9,2,0,2,-3,2,0.22,2,2,0,0,0,0,0,1,12,16.7,11:40,0
Noah Gregor,20202021,SJS,L,C,8,2,0,2,-4,4,0.25,2,2,0,0,0,0,0,0,16,12.5,11:47,29.7
Jamie Oleksiak,20202021,DAL,L,D,9,2,0,2,0,2,0.22,2,2,0,0,0,0,0,1,7,28.6,18:06,--
Robby Fabbri,20202021,DET,L,C,5,2,0,2,0,0,0.4,2,2,0,0,0,0,0,1,11,18.2,15:43,34.9
Logan O'Connor,20202021,COL,R,R,3,2,0,2,2,2,0.67,2,2,0,0,0,0,0,0,6,33.3,9:04,--
Luke Kunin,20202021,NSH,R,C,8,2,0,2,-1,2,0.25,2,2,0,0,0,0,0,0,13,15.4,14:28,33.3
Colton Sceviour,20202021,PIT,R,C,8,2,0,2,-2,0,0.25,2,2,0,0,0,0,0,0,8,25,9:13,71.4
Kyle Clifford,20202021,STL,L,L,10,2,0,2,0,7,0.2,2,2,0,0,0,0,0,0,6,33.3,8:19,--
Adam Gaudette,20202021,VAN,R,C,11,2,0,2,-7,8,0.18,2,2,0,0,0,0,0,0,18,11.1,9:21,45.5
Travis Zajac,20202021,NJD,R,C,7,2,0,2,-1,2,0.29,2,2,0,0,0,0,0,0,10,20,16:48,41.8
Blake Lizotte,20202021,LAK,L,C,8,2,0,2,-3,6,0.25,2,2,0,0,0,0,0,0,10,20,13:16,54.2
Jake Evans,20202021,MTL,R,C,12,2,0,2,1,16,0.17,1,1,0,0,1,1,0,0,18,11.1,12:39,49.3
Josh Archibald,20202021,EDM,R,R,13,2,0,2,-5,4,0.15,2,2,0,0,0,0,0,0,14,14.3,12:19,0
Colton Sissons,20202021,NSH,R,C,11,2,0,2,2,4,0.18,2,2,0,0,0,0,0,0,10,20,14:17,48.5
Calle Jarnkrok,20202021,NSH,R,C,5,2,0,2,2,0,0.4,2,2,0,0,0,0,0,0,5,40,13:07,42.9
Zach Sanford,20202021,STL,L,L,11,1,1,2,-1,2,0.18,1,2,0,0,0,0,0,1,19,5.3,15:33,50
Riley Sheahan,20202021,BUF,L,C,10,1,1,2,1,0,0.2,1,2,0,0,0,0,0,0,4,25,11:49,65.2
Trevor Lewis,20202021,WPG,R,C,11,1,1,2,1,0,0.18,0,1,0,0,1,1,0,0,10,10,9:13,33.3
Yegor Sharangovich,20202021,NJD,L,C,9,1,1,2,1,0,0.22,1,2,0,0,0,0,1,1,10,10,14:36,25.6
Mikko Koivu,20202021,CBJ,L,C,7,1,1,2,-2,2,0.29,1,2,0,0,0,0,0,0,3,33.3,12:28,45.7
Joel Kiviranta,20202021,DAL,L,L,1,1,1,2,2,0,2,0,1,1,1,0,0,0,0,2,50,11:55,--
Radek Faksa,20202021,DAL,L,C,9,1,1,2,1,4,0.22,1,2,0,0,0,0,0,0,11,9.1,17:21,56.9
Ty Dellandrea,20202021,DAL,R,C,7,1,1,2,3,8,0.29,0,1,1,1,0,0,0,0,7,14.3,15:11,50.9
Riley Nash,20202021,CBJ,R,C,12,1,1,2,1,0,0.17,1,2,0,0,0,0,0,0,14,7.1,13:31,45.9
Brendan Lemieux,20202021,NYR,L,L,9,1,1,2,3,8,0.22,1,2,0,0,0,0,0,0,12,8.3,9:25,28.6
J.T. Compher,20202021,COL,R,L,11,1,1,2,-2,13,0.18,0,0,1,2,0,0,0,0,8,12.5,15:33,42.1
Joe Thornton,20202021,TOR,L,C,5,1,1,2,-1,2,0.4,1,1,0,1,0,0,0,0,7,14.3,15:26,36.4
Justin Dowling,20202021,DAL,L,C,5,1,1,2,0,4,0.4,1,2,0,0,0,0,0,0,7,14.3,12:04,39.3
Brad Richardson,20202021,NSH,L,R,8,1,1,2,2,2,0.25,1,2,0,0,0,0,0,1,5,20,11:35,55.3
Kevin Stenlund,20202021,CBJ,R,C,2,1,1,2,2,0,1,1,2,0,0,0,0,0,0,3,33.3,12:57,40
Sam Bennett,20202021,CGY,L,C,10,1,1,2,-5,4,0.2,1,2,0,0,0,0,0,0,15,6.7,13:09,42.9
Rocco Grimaldi,20202021,NSH,R,R,7,1,1,2,-5,4,0.29,1,2,0,0,0,0,0,0,5,20,11:22,--
Troy Terry,20202021,ANA,R,R,11,1,1,2,-1,2,0.18,1,2,0,0,0,0,0,0,16,6.3,12:48,50
Kurtis MacDermid,20202021,LAK,L,D,9,1,1,2,-5,14,0.22,1,2,0,0,0,0,0,0,8,12.5,13:52,--
Jujhar Khaira,20202021,EDM,L,L,4,1,1,2,-2,10,0.5,1,2,0,0,0,0,0,0,4,25,9:23,20
Frank Vatrano,20202021,FLA,L,C,9,1,1,2,1,4,0.22,1,2,0,0,0,0,1,1,28,3.6,14:11,16.7
Marcus Sorensen,20202021,SJS,L,L,10,1,1,2,-1,4,0.2,1,2,0,0,0,0,0,0,14,7.1,11:48,50
Zach Whitecloud,20202021,VGK,R,D,9,1,1,2,3,2,0.22,1,2,0,0,0,0,0,0,13,7.7,19:39,--
Carl Hagelin,20202021,WSH,L,L,12,1,1,2,1,2,0.17,1,2,0,0,0,0,0,0,19,5.3,15:59,22.2
Nick Bonino,20202021,MIN,L,C,11,1,1,2,-6,4,0.18,0,1,1,1,0,0,0,0,19,5.3,16:54,55.9
Casey Cizikas,20202021,NYI,L,C,10,1,1,2,-3,4,0.2,1,2,0,0,0,0,0,0,10,10,13:32,60.4
Chris Wagner,20202021,BOS,R,R,11,1,1,2,-1,6,0.18,1,2,0,0,0,0,0,0,19,5.3,12:25,62.2
Alexander Romanov,20202021,MTL,L,D,11,1,1,2,3,8,0.18,1,1,0,1,0,0,0,0,23,4.4,18:28,--
Mathieu Olivier,20202021,NSH,R,R,8,1,1,2,-1,6,0.25,0,1,1,1,0,0,0,0,10,10,10:54,100
Calvin de Haan,20202021,CHI,L,D,13,1,1,2,-7,4,0.15,1,2,0,0,0,0,0,1,21,4.8,20:37,--
Greg Pateryn,20202021,"MIN,COL",R,D,6,0,2,2,-1,2,0.33,0,2,0,0,0,0,0,0,4,0,13:58,--
Jacob Larsson,20202021,ANA,L,D,13,0,2,2,-1,2,0.15,0,2,0,0,0,0,0,0,9,0,16:30,--
Michael Amadio,20202021,LAK,R,C,10,0,2,2,-3,0,0.2,0,1,0,1,0,0,0,0,10,0,13:12,51.4
Kiefer Sherwood,20202021,COL,R,L,4,0,2,2,2,0,0.5,0,2,0,0,0,0,0,0,2,0,9:15,50
Ilya Mikheyev,20202021,TOR,L,R,12,0,2,2,-1,2,0.17,0,2,0,0,0,0,0,0,18,0,15:05,100
Mikey Anderson,20202021,LAK,L,D,11,0,2,2,-2,6,0.18,0,2,0,0,0,0,0,0,5,0,21:07,--
Anders Bjork,20202021,BOS,L,L,11,0,2,2,3,4,0.18,0,2,0,0,0,0,0,0,4,0,12:14,--
Travis Hamonic,20202021,VAN,R,D,5,0,2,2,0,4,0.4,0,2,0,0,0,0,0,0,7,0,18:11,0
Ryan Murray,20202021,NJD,L,D,9,0,2,2,2,0,0.22,0,2,0,0,0,0,0,0,5,0,21:28,--
Michael Sgarbossa,20202021,WSH,L,C,5,0,2,2,2,0,0.4,0,2,0,0,0,0,0,0,4,0,9:48,34.5
Ivan Barbashev,20202021,STL,L,C,12,0,2,2,1,4,0.17,0,2,0,0,0,0,0,0,8,0,11:57,40.4
Brandon Montour,20202021,BUF,R,D,10,0,2,2,-6,8,0.2,0,2,0,0,0,0,0,0,17,0,21:02,--
Ryan Lindgren,20202021,NYR,L,D,10,0,2,2,2,8,0.2,0,2,0,0,0,0,0,0,10,0,19:37,--
Adam Pelech,20202021,NYI,L,D,10,0,2,2,0,4,0.2,0,2,0,0,0,0,0,0,19,0,20:42,--
Dylan DeMelo,20202021,WPG,R,D,7,0,2,2,-1,4,0.29,0,2,0,0,0,0,0,0,7,0,18:12,--
Tyler Bozak,20202021,STL,R,C,7,0,2,2,-1,2,0.29,0,2,0,0,0,0,0,0,2,0,13:16,55.2
Michael Dal Colle,20202021,NYI,L,L,3,0,2,2,1,0,0.67,0,2,0,0,0,0,0,0,0,--,11:12,--
Jacob Trouba,20202021,NYR,R,D,10,0,2,2,2,6,0.2,0,2,0,0,0,0,0,0,17,0,22:38,--
Erik Gudbranson,20202021,OTT,R,D,12,0,2,2,-10,13,0.17,0,2,0,0,0,0,0,0,15,0,19:39,--
Jan Rutta,20202021,TBL,R,D,9,0,2,2,2,8,0.22,0,2,0,0,0,0,0,0,13,0,15:10,--
Artem Zub,20202021,OTT,R,D,4,0,2,2,-1,4,0.5,0,2,0,0,0,0,0,0,1,0,14:43,--
Sean Walker,20202021,LAK,R,D,7,0,2,2,-2,2,0.29,0,1,0,1,0,0,0,0,7,0,16:17,--
Christian Djoos,20202021,DET,L,D,9,0,2,2,-4,0,0.22,0,2,0,0,0,0,0,0,15,0,15:56,--
Taro Hirose,20202021,DET,L,L,6,0,2,2,2,0,0.33,0,2,0,0,0,0,0,0,10,0,14:22,50
Nikita Zadorov,20202021,CHI,L,D,13,0,2,2,0,7,0.15,0,2,0,0,0,0,0,0,12,0,18:43,--
Jon Merrill,20202021,DET,L,D,7,0,2,2,2,2,0.29,0,2,0,0,0,0,0,0,5,0,20:19,--
Frans Nielsen,20202021,DET,L,C,11,0,2,2,0,0,0.18,0,2,0,0,0,0,0,0,10,0,12:17,60
Michael Rasmussen,20202021,DET,L,C,8,0,2,2,-2,6,0.25,0,2,0,0,0,0,0,0,8,0,12:13,45.5
Blake Comeau,20202021,DAL,R,L,5,0,2,2,0,0,0.4,0,2,0,0,0,0,0,0,5,0,14:52,36.4
Jakub Zboril,20202021,BOS,L,D,11,0,2,2,0,4,0.18,0,1,0,1,0,0,0,0,9,0,18:08,--
Nick Jensen,20202021,WSH,R,D,9,0,2,2,2,2,0.22,0,2,0,0,0,0,0,0,8,0,17:45,--
Tanner Kero,20202021,DAL,L,C,7,0,2,2,1,2,0.29,0,2,0,0,0,0,0,0,6,0,12:55,55.6
Teuvo Teravainen,20202021,CAR,L,L,6,0,2,2,-1,0,0.33,0,2,0,0,0,0,0,0,16,0,16:41,33.3
Dante Fabbro,20202021,NSH,R,D,11,0,2,2,0,11,0.18,0,2,0,0,0,0,0,0,21,0,18:33,--
Jordan Martinook,20202021,CAR,L,L,6,0,2,2,-4,0,0.33,0,2,0,0,0,0,0,0,6,0,11:10,55.6
John Leonard,20202021,SJS,L,L,7,0,2,2,-5,0,0.29,0,2,0,0,0,0,0,0,9,0,13:04,--
Jared Spurgeon,20202021,MIN,R,D,11,0,2,2,-4,0,0.18,0,2,0,0,0,0,0,0,19,0,22:13,--
Jeremy Lauzon,20202021,BOS,L,D,11,0,2,2,-3,6,0.18,0,2,0,0,0,0,0,0,18,0,19:54,--
Kevin Shattenkirk,20202021,ANA,R,D,13,0,2,2,-4,12,0.15,0,2,0,0,0,0,0,0,25,0,22:46,--
Carson Soucy,20202021,MIN,L,D,11,0,2,2,4,14,0.18,0,2,0,0,0,0,0,0,8,0,16:01,--
Keegan Kolesar,20202021,VGK,R,R,7,0,2,2,-1,0,0.29,0,2,0,0,0,0,0,0,4,0,6:10,12.5
Jaccob Slavin,20202021,CAR,L,D,6,0,2,2,5,0,0.33,0,2,0,0,0,0,0,0,6,0,23:16,--
Ethan Bear,20202021,EDM,R,D,9,0,2,2,5,2,0.22,0,2,0,0,0,0,0,0,10,0,20:28,--
Eeli Tolvanen,20202021,NSH,L,R,3,1,0,1,-1,0,0.33,1,1,0,0,0,0,0,0,2,50,11:24,--
Devin Shore,20202021,EDM,L,C,8,1,0,1,-1,2,0.13,0,0,0,0,1,1,0,0,4,25,8:37,49
Barrett Hayton,20202021,ARI,L,C,10,1,0,1,-1,0,0.1,1,1,0,0,0,0,0,0,8,12.5,11:37,47.4
Arthur Kaliyev,20202021,LAK,L,R,1,1,0,1,-1,0,1,1,1,0,0,0,0,0,0,1,100,14:42,--
Evan Rodrigues,20202021,PIT,R,C,6,1,0,1,-4,0,0.17,1,1,0,0,0,0,0,0,12,8.3,15:52,60
Marcus Pettersson,20202021,PIT,L,D,4,1,0,1,-2,0,0.25,1,1,0,0,0,0,0,0,3,33.3,17:19,--
David Backes,20202021,ANA,R,R,5,1,0,1,0,0,0.2,1,1,0,0,0,0,0,1,14,7.1,14:23,52.2
Henri Jokiharju,20202021,BUF,R,D,7,1,0,1,-2,0,0.14,1,1,0,0,0,0,0,0,7,14.3,17:06,--
Isac Lundestrom,20202021,ANA,L,C,6,1,0,1,0,0,0.17,1,1,0,0,0,0,0,0,6,16.7,13:36,52.6
Alex Galchenyuk,20202021,OTT,L,L,5,1,0,1,-4,4,0.2,0,0,1,1,0,0,0,0,14,7.1,10:29,--
Yakov Trenin,20202021,NSH,L,C,8,1,0,1,1,0,0.13,1,1,0,0,0,0,0,0,7,14.3,9:07,--
Tomas Nosek,20202021,VGK,L,L,9,1,0,1,-1,4,0.11,1,1,0,0,0,0,0,0,11,9.1,12:42,51.1
Pierre-Luc Dubois,20202021,CBJ,L,L,5,1,0,1,-2,2,0.2,1,1,0,0,0,0,0,1,7,14.3,14:31,54.1
Cedric Paquette,20202021,OTT,L,C,9,1,0,1,-8,4,0.11,1,1,0,0,0,0,0,0,4,25,10:15,42.9
Pat Maroon,20202021,TBL,L,L,9,1,0,1,1,17,0.11,1,1,0,0,0,0,0,0,8,12.5,11:11,33.3
Jaret Anderson-Dolan,20202021,LAK,L,C,2,1,0,1,-1,4,0.5,1,1,0,0,0,0,0,0,2,50,12:05,41.7
Callan Foote,20202021,TBL,R,D,7,1,0,1,7,0,0.14,1,1,0,0,0,0,0,0,5,20,10:40,--
Alexis Lafrenière,20202021,NYR,L,L,10,1,0,1,-3,2,0.1,1,1,0,0,0,0,1,1,18,5.6,14:27,50
Robert Hagg,20202021,PHI,L,D,10,1,0,1,-3,2,0.1,1,1,0,0,0,0,0,0,11,9.1,15:32,--
Ryan Carpenter,20202021,CHI,R,C,9,1,0,1,0,6,0.11,1,1,0,0,0,0,0,0,20,5,13:14,35.7
Adam Brooks,20202021,TOR,L,C,1,1,0,1,-1,0,1,0,0,1,1,0,0,0,0,1,100,8:30,50
Anthony Bitetto,20202021,NYR,L,D,2,1,0,1,1,2,0.5,1,1,0,0,0,0,0,0,1,100,12:11,--
Nate Prosser,20202021,PHI,R,D,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,100,13:12,--
Slater Koekkoek,20202021,EDM,L,D,11,1,0,1,-5,2,0.09,1,1,0,0,0,0,0,0,11,9.1,14:19,--
Trevor van Riemsdyk,20202021,WSH,R,D,7,1,0,1,-3,0,0.14,1,1,0,0,0,0,0,0,7,14.3,18:19,--
Scott Mayfield,20202021,NYI,R,D,10,1,0,1,-5,2,0.1,1,1,0,0,0,0,0,0,15,6.7,18:53,--
Danny DeKeyser,20202021,DET,L,D,10,1,0,1,-1,6,0.1,1,1,0,0,0,0,0,0,8,12.5,15:30,--
Lias Andersson,20202021,LAK,L,C,8,1,0,1,-3,6,0.13,1,1,0,0,0,0,0,0,8,12.5,11:26,29.4
Valtteri Filppula,20202021,DET,L,C,11,1,0,1,-2,6,0.09,1,1,0,0,0,0,0,0,6,16.7,15:19,44.2
Oliver Wahlstrom,20202021,NYI,R,R,3,1,0,1,1,2,0.33,1,1,0,0,0,0,0,0,2,50,10:53,--
Jason Robertson,20202021,DAL,L,L,4,1,0,1,0,0,0.25,1,1,0,0,0,0,0,0,4,25,11:10,100
Aleksi Heponiemi,20202021,FLA,L,C,3,1,0,1,0,2,0.33,1,1,0,0,0,0,1,1,3,33.3,9:27,--
Esa Lindell,20202021,DAL,L,D,9,1,0,1,6,4,0.11,0,0,0,0,1,1,0,0,11,9.1,24:15,--
Jake Virtanen,20202021,VAN,R,R,11,1,0,1,0,6,0.09,1,1,0,0,0,0,0,0,17,5.9,12:13,100
Olli Juolevi,20202021,VAN,L,D,7,1,0,1,2,0,0.14,1,1,0,0,0,0,0,0,5,20,12:53,--
Zack MacEwen,20202021,VAN,R,C,10,1,0,1,2,12,0.1,1,1,0,0,0,0,0,0,14,7.1,8:07,66.7
Jack Studnicka,20202021,BOS,R,C,6,1,0,1,-2,0,0.17,1,1,0,0,0,0,0,0,6,16.7,13:31,25
Max Jones,20202021,ANA,L,L,6,1,0,1,-2,2,0.17,1,1,0,0,0,0,0,0,4,25,12:49,--
Artem Anisimov,20202021,OTT,L,C,4,0,1,1,-3,2,0.25,0,1,0,0,0,0,0,0,7,0,12:32,31.6
Kris Russell,20202021,EDM,L,D,8,0,1,1,-4,2,0.13,0,1,0,0,0,0,0,0,7,0,17:16,--
William Lagesson,20202021,EDM,L,D,4,0,1,1,2,0,0.25,0,1,0,0,0,0,0,0,1,0,12:18,--
Patrick Russell,20202021,EDM,R,R,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,8:48,--
Caleb Jones,20202021,EDM,L,D,7,0,1,1,-1,4,0.14,0,1,0,0,0,0,0,0,7,0,14:54,--
Evan Bouchard,20202021,EDM,R,D,2,0,1,1,0,0,0.5,0,1,0,0,0,0,0,0,7,0,15:23,--
Kevan Miller,20202021,BOS,R,D,11,0,1,1,-2,9,0.09,0,1,0,0,0,0,0,0,11,0,18:35,--
Pierre Engvall,20202021,TOR,L,L,4,0,1,1,0,4,0.25,0,1,0,0,0,0,0,0,7,0,9:33,50
Nicholas Merkley,20202021,NJD,L,R,3,0,1,1,1,0,0.33,0,1,0,0,0,0,0,0,3,0,9:59,100
David Kampf,20202021,CHI,L,C,13,0,1,1,-2,8,0.08,0,1,0,0,0,0,0,0,15,0,13:34,56.5
Bowen Byram,20202021,COL,L,D,8,0,1,1,1,8,0.13,0,1,0,0,0,0,0,0,15,0,17:28,--
Matt Calvert,20202021,COL,L,L,6,0,1,1,-1,0,0.17,0,1,0,0,0,0,0,0,7,0,14:47,0
Radim Simek,20202021,SJS,L,D,8,0,1,1,-2,2,0.13,0,1,0,0,0,0,0,0,4,0,13:24,--
Mark Borowiecki,20202021,NSH,L,D,8,0,1,1,1,29,0.13,0,1,0,0,0,0,0,0,4,0,12:42,--
Jesper Bratt,20202021,NJD,L,L,3,0,1,1,1,0,0.33,0,1,0,0,0,0,0,0,8,0,19:38,0
Alexander Chmelevski,20202021,SJS,R,C,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,2,0,6:11,33.3
Dylan Gambrell,20202021,SJS,R,C,7,0,1,1,-2,6,0.14,0,1,0,0,0,0,0,0,6,0,15:59,54.4
Josh Leivo,20202021,CGY,R,L,10,0,1,1,-3,4,0.1,0,1,0,0,0,0,0,0,15,0,12:39,25
Nicolas Beaudin,20202021,CHI,L,D,5,0,1,1,0,2,0.2,0,0,0,1,0,0,0,0,2,0,13:55,--
Ian Mitchell,20202021,CHI,R,D,13,0,1,1,-4,2,0.08,0,1,0,0,0,0,0,0,12,0,14:06,--
Derek Ryan,20202021,CGY,R,C,10,0,1,1,1,4,0.1,0,1,0,0,0,0,0,0,3,0,9:59,58.6
Daniel Carr,20202021,WSH,L,L,3,0,1,1,-2,0,0.33,0,1,0,0,0,0,0,0,3,0,10:15,--
Brogan Rafferty,20202021,VAN,R,D,1,0,1,1,-1,0,1,0,1,0,0,0,0,0,0,1,0,13:58,--
Brian Dumoulin,20202021,PIT,L,D,7,0,1,1,-1,2,0.14,0,1,0,0,0,0,0,0,9,0,22:19,--
Tage Thompson,20202021,BUF,R,R,5,0,1,1,-2,2,0.2,0,1,0,0,0,0,0,0,8,0,14:06,50
Carl Soderberg,20202021,CHI,L,C,8,0,1,1,1,6,0.13,0,1,0,0,0,0,0,0,6,0,14:01,44.6
Connor Bunnaman,20202021,PHI,L,C,8,0,1,1,-1,0,0.13,0,1,0,0,0,0,0,0,7,0,12:09,56
Justin Braun,20202021,PHI,R,D,13,0,1,1,4,2,0.08,0,1,0,0,0,0,0,0,9,0,18:02,--
Shayne Gostisbehere,20202021,PHI,L,D,7,0,1,1,4,0,0.14,0,1,0,0,0,0,0,0,14,0,20:00,--
Brandon Hagel,20202021,CHI,L,L,10,0,1,1,-3,2,0.1,0,1,0,0,0,0,0,0,15,0,12:24,50
Ian Cole,20202021,"COL,MIN",L,D,10,0,1,1,4,2,0.1,0,1,0,0,0,0,0,0,5,0,16:41,--
Sam Gagner,20202021,DET,R,C,7,0,1,1,1,9,0.14,0,1,0,0,0,0,0,0,11,0,13:40,28.6
Tyler Ennis,20202021,EDM,L,C,5,0,1,1,-3,0,0.2,0,1,0,0,0,0,0,0,4,0,9:34,--
Braydon Coburn,20202021,OTT,L,D,8,0,1,1,-5,4,0.13,0,1,0,0,0,0,0,0,5,0,17:21,--
Tyson Jost,20202021,COL,L,C,11,0,1,1,2,6,0.09,0,1,0,0,0,0,0,0,10,0,14:08,46.8
Patrik Nemeth,20202021,DET,L,D,13,0,1,1,-5,4,0.08,0,1,0,0,0,0,0,0,16,0,20:24,--
Brendan Smith,20202021,NYR,L,D,6,0,1,1,1,4,0.17,0,1,0,0,0,0,0,0,5,0,12:36,--
Tony DeAngelo,20202021,NYR,R,D,6,0,1,1,-6,4,0.17,0,0,0,1,0,0,0,0,13,0,18:29,--
Nicolas Roy,20202021,VGK,R,C,9,0,1,1,2,4,0.11,0,1,0,0,0,0,0,0,7,0,13:41,56.4
Alex Goligoski,20202021,ARI,L,D,11,0,1,1,1,4,0.09,0,1,0,0,0,0,0,0,12,0,21:45,--
Luke Schenn,20202021,TBL,R,D,7,0,1,1,-2,7,0.14,0,1,0,0,0,0,0,0,6,0,10:25,--
Trent Frederic,20202021,BOS,L,C,11,0,1,1,0,5,0.09,0,1,0,0,0,0,0,0,11,0,11:38,44.4
Brett Howden,20202021,NYR,L,C,10,0,1,1,-1,7,0.1,0,1,0,0,0,0,0,0,10,0,13:18,49.5
Erik Cernak,20202021,TBL,R,D,7,0,1,1,5,4,0.14,0,1,0,0,0,0,0,0,13,0,17:09,--
Matt Irwin,20202021,BUF,L,D,3,0,1,1,-1,4,0.33,0,1,0,0,0,0,0,0,7,0,16:18,--
Erik Johnson,20202021,COL,R,D,4,0,1,1,2,2,0.25,0,1,0,0,0,0,0,0,5,0,13:26,--
Gerald Mayhew,20202021,MIN,R,C,2,0,1,1,1,0,0.5,0,0,0,1,0,0,0,0,3,0,13:15,0
Radko Gudas,20202021,FLA,R,D,9,0,1,1,3,2,0.11,0,1,0,0,0,0,0,0,15,0,17:09,--
Ryan Graves,20202021,COL,L,D,10,0,1,1,-5,18,0.1,0,1,0,0,0,0,0,0,17,0,17:27,--
Erik Brannstrom,20202021,OTT,L,D,2,0,1,1,2,2,0.5,0,1,0,0,0,0,0,0,1,0,16:11,--
Casey Mittelstadt,20202021,BUF,L,C,2,0,1,1,-1,0,0.5,0,0,0,1,0,0,0,0,0,--,10:21,66.7
Anthony Beauvillier,20202021,NYI,L,L,5,0,1,1,-2,0,0.2,0,0,0,1,0,0,0,0,4,0,14:36,0
Dmitry Kulikov,20202021,NJD,L,D,9,0,1,1,4,2,0.11,0,1,0,0,0,0,0,0,10,0,19:56,--
Nikita Gusev,20202021,NJD,R,L,9,0,1,1,-6,0,0.11,0,1,0,0,0,0,0,0,24,0,14:08,--
Carl Gunnarsson,20202021,STL,L,D,6,0,1,1,0,6,0.17,0,1,0,0,0,0,0,0,2,0,12:40,--
Jeff Skinner,20202021,BUF,L,L,10,0,1,1,0,6,0.1,0,1,0,0,0,0,0,0,24,0,13:52,33.3
Cody Eakin,20202021,BUF,L,C,10,0,1,1,-2,0,0.1,0,1,0,0,0,0,0,0,4,0,14:09,59.7
Olli Maatta,20202021,LAK,L,D,7,0,1,1,-2,2,0.14,0,1,0,0,0,0,0,0,9,0,17:38,--
Nathan Beaulieu,20202021,WPG,L,D,11,0,1,1,2,12,0.09,0,1,0,0,0,0,0,0,12,0,18:00,--
Matt Tennyson,20202021,NJD,R,D,9,0,1,1,7,2,0.11,0,1,0,0,0,0,0,0,10,0,13:28,--
Zach Bogosian,20202021,TOR,R,D,12,0,1,1,4,6,0.08,0,1,0,0,0,0,0,0,10,0,14:36,--
Jake DeBrusk,20202021,BOS,L,L,6,0,1,1,-1,0,0.17,0,1,0,0,0,0,0,0,9,0,14:02,66.7
Nic Petan,20202021,TOR,L,C,2,0,1,1,1,2,0.5,0,1,0,0,0,0,0,0,3,0,9:52,--
Steven Lorentz,20202021,CAR,L,C,4,0,1,1,-1,2,0.25,0,1,0,0,0,0,0,0,2,0,12:06,66.7
Scott Harrington,20202021,CBJ,L,D,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,--,13:29,--
Owen Tippett,20202021,FLA,R,R,7,0,1,1,-3,4,0.14,0,1,0,0,0,0,0,0,9,0,11:02,--
Mitchell Stephens,20202021,TBL,R,C,4,0,1,1,-2,0,0.25,0,1,0,0,0,0,0,0,2,0,8:32,65.4
Alexander Volkov,20202021,TBL,L,R,4,0,1,1,-1,0,0.25,0,1,0,0,0,0,0,0,1,0,9:18,--
John Marino,20202021,PIT,R,D,11,0,1,1,-4,6,0.09,0,1,0,0,0,0,0,0,10,0,23:27,--
Patrick Marleau,20202021,SJS,L,C,10,0,1,1,-3,0,0.1,0,1,0,0,0,0,0,0,7,0,12:10,48.7
Nathan Gerbe,20202021,CBJ,L,C,1,0,1,1,1,2,1,0,1,0,0,0,0,0,0,1,0,9:36,--
Lawson Crouse,20202021,ARI,L,L,8,0,1,1,-3,2,0.13,0,0,0,1,0,0,0,0,9,0,13:56,42.9
Jason Demers,20202021,ARI,R,D,11,0,1,1,-2,12,0.09,0,1,0,0,0,0,0,0,12,0,17:43,--
Drew O'Connor,20202021,PIT,L,L,5,0,1,1,0,0,0.2,0,1,0,0,0,0,0,0,4,0,10:25,100
Chad Ruhwedel,20202021,PIT,R,D,10,0,1,1,0,12,0.1,0,1,0,0,0,0,0,0,11,0,15:18,--
Matt Martin,20202021,NYI,L,L,10,0,1,1,-2,4,0.1,0,1,0,0,0,0,0,0,12,0,10:32,0
Ryan Reaves,20202021,VGK,R,R,9,0,1,1,-1,2,0.11,0,1,0,0,0,0,0,0,6,0,10:08,14.3
Alex Biega,20202021,DET,R,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12:05,--
Luke Johnson,20202021,MIN,R,C,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,11:13,0
Kyle Capobianco,20202021,ARI,L,D,2,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,3,0,14:28,--
Kyle Rau,20202021,MIN,L,C,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,7:53,--
Mark Alt,20202021,LAK,R,D,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,13:35,--
