Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Philipp Kurashev,20202021,CHI,L,C,28,6,4,10,-10,6,0.36,4,6,2,4,0,0,0,1,37,16.2,13:00,37.8
Vladislav Namestnikov,20202021,DET,L,C,27,5,5,10,-3,8,0.37,5,10,0,0,0,0,0,0,54,9.3,16:19,47
Warren Foegele,20202021,CAR,L,L,24,5,5,10,3,12,0.42,5,10,0,0,0,0,0,0,36,13.9,13:15,50
Oliver Wahlstrom,20202021,NYI,R,R,22,5,5,10,5,8,0.45,4,5,1,5,0,0,0,1,44,11.4,11:24,42.9
Corey Perry,20202021,MTL,R,R,20,5,5,10,7,16,0.5,5,7,0,3,0,0,0,1,25,20,12:25,0
Mikael Granlund,20202021,NSH,L,C,26,5,5,10,-7,6,0.38,3,6,2,4,0,0,0,0,40,12.5,19:20,49
Joel Armia,20202021,MTL,R,R,20,5,5,10,8,6,0.5,4,8,0,0,1,2,0,0,40,12.5,14:26,23.5
Jared McCann,20202021,PIT,L,C,17,5,5,10,9,4,0.59,4,9,1,1,0,0,0,1,28,17.9,12:42,38.9
Tanner Pearson,20202021,VAN,L,L,31,5,5,10,-6,24,0.32,4,8,1,2,0,0,0,0,72,6.9,16:30,45.5
Barclay Goodrow,20202021,TBL,L,C,27,5,5,10,8,20,0.37,5,10,0,0,0,0,0,1,32,15.6,15:02,49.7
Derick Brassard,20202021,ARI,L,C,28,4,6,10,-4,8,0.36,2,6,2,4,0,0,0,0,37,10.8,15:06,49
Jesper Fast,20202021,CAR,R,R,22,3,7,10,-4,8,0.45,2,7,1,3,0,0,0,0,16,18.8,14:35,35.3
Eric Staal,20202021,BUF,L,C,26,3,7,10,-15,4,0.38,2,7,1,3,0,0,0,0,40,7.5,15:21,47.4
Nick Jensen,20202021,WSH,R,D,24,2,8,10,6,8,0.42,2,10,0,0,0,0,0,0,29,6.9,17:29,--
Justin Schultz,20202021,WSH,R,D,23,2,8,10,7,4,0.43,2,5,0,5,0,0,0,1,37,5.4,18:55,--
Alex Pietrangelo,20202021,VGK,R,D,18,2,8,10,8,2,0.56,2,8,0,2,0,0,0,0,50,4,25:27:00,--
Dante Fabbro,20202021,NSH,R,D,27,2,8,10,-1,21,0.37,1,9,1,1,0,0,0,1,49,4.1,19:11,--
Evgeny Kuznetsov,20202021,WSH,L,C,17,2,8,10,0,8,0.59,1,7,1,3,0,0,0,0,31,6.5,16:13,41.2
Erik Gustafsson,20202021,PHI,L,D,18,1,9,10,4,0,0.56,1,6,0,4,0,0,0,0,19,5.3,17:12,--
Jesper Bratt,20202021,NJD,L,L,19,1,9,10,0,2,0.53,1,8,0,1,0,1,0,0,44,2.3,15:47,28.6
Justin Holl,20202021,TOR,R,D,30,1,9,10,3,12,0.33,1,10,0,0,0,0,0,0,23,4.4,21:05,--
Duncan Keith,20202021,CHI,L,D,29,1,9,10,0,18,0.34,1,6,0,4,0,0,0,1,63,1.6,23:50,--
TJ Brodie,20202021,TOR,L,D,30,0,10,10,13,2,0.33,0,7,0,3,0,0,0,0,28,0,21:54,--
Eeli Tolvanen,20202021,NSH,L,R,20,6,3,9,-5,2,0.45,2,3,4,6,0,0,0,1,32,18.8,14:00,25
Tyler Pitlick,20202021,ARI,R,C,28,6,3,9,1,12,0.32,5,8,0,0,1,1,0,0,46,13,17:05,46.2
Yegor Sharangovich,20202021,NJD,L,C,23,5,4,9,3,0,0.39,5,9,0,0,0,0,1,2,41,12.2,15:04,27.3
Valeri Nichushkin,20202021,COL,L,R,26,5,4,9,-1,2,0.35,4,8,0,0,1,1,1,3,45,11.1,13:10,0
Colin Blackwell,20202021,NYR,R,C,17,5,4,9,0,4,0.53,3,7,2,2,0,0,0,1,28,17.9,13:01,66.7
Alex Chiasson,20202021,EDM,R,R,22,5,4,9,-1,17,0.41,2,5,3,4,0,0,0,1,26,19.2,12:19,33.3
Matt Martin,20202021,NYI,L,L,29,5,4,9,4,16,0.31,5,9,0,0,0,0,0,0,44,11.4,10:23,20
Alexandre Texier,20202021,CBJ,L,C,30,4,5,9,-3,8,0.3,4,9,0,0,0,0,0,0,41,9.8,14:45,36.1
Oskar Sundqvist,20202021,STL,R,C,26,4,5,9,-6,12,0.35,3,6,1,3,0,0,0,0,31,12.9,15:42,48.1
Sam Gagner,20202021,DET,R,C,21,4,5,9,4,9,0.43,4,9,0,0,0,0,0,1,39,10.3,14:30,40.3
Eric Robinson,20202021,CBJ,L,L,30,4,5,9,3,2,0.3,4,9,0,0,0,0,0,2,42,9.5,11:16,--
