Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Zach Aston-Reese,20202021,PIT,L,C,16,5,1,6,4,9,0.38,5,6,0,0,0,0,0,0,21,23.8,14:35,42.9
Matt Nieto,20202021,SJS,L,L,25,4,2,6,-3,4,0.24,4,6,0,0,0,0,0,0,41,9.8,13:38,60
Josh Archibald,20202021,EDM,R,R,26,4,2,6,-2,27,0.23,4,6,0,0,0,0,0,0,33,12.1,13:07,25
James Neal,20202021,EDM,L,L,16,3,3,6,0,7,0.38,2,4,1,2,0,0,0,0,32,9.4,12:34,33.3
Colin Miller,20202021,BUF,R,D,24,3,3,6,-14,17,0.25,2,3,1,3,0,0,0,0,30,10,18:07,--
Adam Gaudette,20202021,VAN,R,C,27,3,3,6,-10,10,0.22,3,4,0,2,0,0,0,0,50,6,10:50,46.4
Carl Grundstrom,20202021,LAK,L,R,25,3,3,6,-3,8,0.24,3,4,0,2,0,0,0,1,36,8.3,12:36,0
Nicolas Deslauriers,20202021,ANA,L,L,25,3,3,6,-5,17,0.24,3,6,0,0,0,0,0,1,30,10,11:03,--
Filip Chytil,20202021,NYR,L,C,12,3,3,6,2,2,0.5,3,6,0,0,0,0,0,0,24,12.5,14:00,42.4
Danton Heinen,20202021,ANA,L,L,20,3,3,6,-3,0,0.3,2,5,1,1,0,0,0,1,34,8.8,14:23,0
Sam Bennett,20202021,CGY,L,C,25,3,3,6,-10,15,0.24,3,6,0,0,0,0,0,1,46,6.5,13:10,46.6
Nick Bonino,20202021,MIN,L,C,25,3,3,6,-3,8,0.24,2,5,1,1,0,0,0,1,33,9.1,14:27,52.2
Austin Wagner,20202021,LAK,L,L,20,3,3,6,-4,6,0.3,3,6,0,0,0,0,0,1,34,8.8,10:43,0
Owen Tippett,20202021,FLA,R,R,18,3,3,6,-4,4,0.33,2,5,1,1,0,0,0,1,26,11.5,11:09,0
Nolan Patrick,20202021,PHI,R,C,25,3,3,6,-9,12,0.24,2,5,1,1,0,0,0,0,23,13,14:24,52
Jamie Oleksiak,20202021,DAL,L,D,24,3,3,6,2,20,0.25,3,6,0,0,0,0,0,2,33,9.1,19:31,--
Nathan Bastian,20202021,NJD,R,R,25,2,4,6,2,11,0.24,2,6,0,0,0,0,0,0,31,6.5,11:30,40
Zach Whitecloud,20202021,VGK,R,D,25,2,4,6,3,10,0.24,2,6,0,0,0,0,0,1,27,7.4,18:52,--
Mason Marchment,20202021,FLA,L,L,10,2,4,6,0,6,0.6,2,6,0,0,0,0,0,0,14,14.3,12:54,0
Pierre Engvall,20202021,TOR,L,L,21,2,4,6,-1,6,0.29,2,6,0,0,0,0,0,0,33,6.1,12:12,43.9
Anthony Beauvillier,20202021,NYI,L,L,20,2,4,6,5,6,0.3,2,5,0,1,0,0,0,2,46,4.4,16:31,20
Cody Ceci,20202021,PIT,R,D,24,2,4,6,6,10,0.25,2,6,0,0,0,0,0,0,24,8.3,17:53,--
Adam Larsson,20202021,EDM,R,D,30,2,4,6,1,16,0.2,2,6,0,0,0,0,0,0,27,7.4,19:04,--
Riley Nash,20202021,CBJ,R,C,29,2,4,6,4,4,0.21,2,6,0,0,0,0,0,1,30,6.7,12:55,50
Jake DeBrusk,20202021,BOS,L,L,18,2,4,6,-3,2,0.33,1,5,1,1,0,0,0,0,37,5.4,14:52,37.5
Artem Zub,20202021,OTT,R,D,22,2,4,6,2,10,0.27,2,6,0,0,0,0,0,0,15,13.3,16:39,--
Christian Djoos,20202021,DET,L,D,25,2,4,6,-8,8,0.24,1,4,1,2,0,0,0,0,30,6.7,15:51,--
Hampus Lindholm,20202021,ANA,L,D,18,2,4,6,-1,16,0.33,2,5,0,1,0,0,0,0,29,6.9,22:02,--
Ivan Barbashev,20202021,STL,L,C,17,2,4,6,6,4,0.35,2,6,0,0,0,0,0,0,23,8.7,13:23,40
Vladislav Gavrikov,20202021,CBJ,L,D,29,1,5,6,2,4,0.21,1,6,0,0,0,0,0,1,24,4.2,19:23,--
Robert Thomas,20202021,STL,R,C,12,1,5,6,3,4,0.5,1,6,0,0,0,0,0,0,7,14.3,13:11,41.1
Derek Forbort,20202021,WPG,L,D,27,1,5,6,2,33,0.22,1,6,0,0,0,0,0,0,38,2.6,21:07,--
Derek Stepan,20202021,OTT,R,C,20,1,5,6,-6,8,0.3,1,4,0,2,0,0,0,0,44,2.3,15:04,50
Blake Comeau,20202021,DAL,R,L,20,1,5,6,2,4,0.3,1,5,0,0,0,1,0,0,29,3.5,16:01,42.3
Nikita Zadorov,20202021,CHI,L,D,29,1,5,6,1,15,0.21,1,6,0,0,0,0,0,0,35,2.9,18:53,--
Calvin de Haan,20202021,CHI,L,D,28,1,5,6,-8,8,0.21,1,6,0,0,0,0,0,1,34,2.9,19:41,--
Alexander Edler,20202021,VAN,L,D,30,0,6,6,-4,32,0.2,0,6,0,0,0,0,0,0,52,0,20:46,--
Carter Rowney,20202021,ANA,R,C,19,0,6,6,-2,2,0.32,0,6,0,0,0,0,0,0,10,0,14:17,57.1
Matt Grzelcyk,20202021,BOS,L,D,12,0,6,6,4,8,0.5,0,3,0,3,0,0,0,0,23,0,18:18,--
Matt Roy,20202021,LAK,R,D,22,0,6,6,2,4,0.27,0,5,0,1,0,0,0,0,37,0,19:14,--
Jan Rutta,20202021,TBL,R,D,25,0,6,6,10,14,0.24,0,4,0,0,0,2,0,0,34,0,15:41,--
Mikey Anderson,20202021,LAK,L,D,25,0,6,6,3,10,0.24,0,5,0,0,0,1,0,0,19,0,21:07,--
Kris Russell,20202021,EDM,L,D,19,0,6,6,0,8,0.32,0,6,0,0,0,0,0,0,22,0,18:03,--
Wayne Simmonds,20202021,TOR,R,R,12,5,0,5,-4,22,0.42,2,2,3,3,0,0,0,0,20,25,11:03,50
Max Jones,20202021,ANA,L,L,19,4,1,5,-4,13,0.26,2,2,2,3,0,0,0,0,32,12.5,13:46,40
Johan Larsson,20202021,ARI,L,L,26,4,1,5,-7,15,0.19,4,5,0,0,0,0,0,2,21,19.1,13:27,47.8
Michael McLeod,20202021,NJD,R,C,23,3,2,5,-4,16,0.22,3,5,0,0,0,0,0,1,26,11.5,12:55,48.3
Jaret Anderson-Dolan,20202021,LAK,L,C,6,3,2,5,1,4,0.83,2,4,1,1,0,0,0,1,6,50,13:42,51.1
Dylan Cozens,20202021,BUF,R,C,20,3,2,5,-7,5,0.25,2,4,1,1,0,0,0,0,18,16.7,13:38,59.6
Alexander Volkov,20202021,TBL,L,R,18,3,2,5,2,4,0.28,3,4,0,1,0,0,0,0,17,17.7,9:32,0
Esa Lindell,20202021,DAL,L,D,24,3,2,5,6,6,0.21,2,4,0,0,1,1,0,0,48,6.3,23:30,--
Dylan Coghlan,20202021,VGK,R,D,14,3,2,5,-1,2,0.36,3,5,0,0,0,0,0,0,15,20,14:11,--
Riley Sheahan,20202021,BUF,L,C,25,3,2,5,0,4,0.2,3,5,0,0,0,0,0,0,16,18.8,12:27,57
Noel Acciari,20202021,FLA,R,C,19,3,2,5,3,2,0.26,2,4,1,1,0,0,0,1,28,10.7,14:25,50.3
Josh Leivo,20202021,CGY,R,L,22,3,2,5,-3,8,0.23,3,5,0,0,0,0,0,2,32,9.4,11:08,28.6
Nico Sturm,20202021,MIN,L,C,23,3,2,5,1,6,0.22,3,5,0,0,0,0,0,0,31,9.7,10:28,45.5
Erik Brannstrom,20202021,OTT,L,D,14,2,3,5,-3,10,0.36,1,3,1,2,0,0,0,0,26,7.7,14:52,--
Nicolas Beaudin,20202021,CHI,L,D,12,2,3,5,3,2,0.42,2,4,0,1,0,0,0,0,5,40,13:57,--
Noah Hanifin,20202021,CGY,L,D,28,2,3,5,6,10,0.18,2,5,0,0,0,0,0,0,48,4.2,19:35,--
Nikita Gusev,20202021,NJD,R,L,17,2,3,5,-11,0,0.29,2,4,0,1,0,0,0,0,40,5,13:47,--
Valtteri Filppula,20202021,DET,L,C,20,2,3,5,-4,10,0.25,2,5,0,0,0,0,0,0,9,22.2,14:39,44.6
Jake Evans,20202021,MTL,R,C,25,2,3,5,3,20,0.2,1,4,0,0,1,1,0,0,30,6.7,11:40,48.5
Luke Kunin,20202021,NSH,R,C,17,2,3,5,-3,2,0.29,2,5,0,0,0,0,0,0,28,7.1,13:43,37.5
Patrick Marleau,20202021,SJS,L,C,25,1,4,5,-2,6,0.2,1,5,0,0,0,0,0,0,26,3.9,13:16,45.7
Dylan Gambrell,20202021,SJS,R,C,21,1,4,5,-5,6,0.24,1,5,0,0,0,0,0,0,20,5,15:56,44.9
Troy Stecher,20202021,DET,R,D,21,1,4,5,-5,6,0.24,1,5,0,0,0,0,0,0,26,3.9,17:38,--
Frans Nielsen,20202021,DET,L,C,21,1,4,5,-1,0,0.24,1,5,0,0,0,0,0,0,18,5.6,12:37,69.2
Jay Beagle,20202021,VAN,R,C,30,1,4,5,-2,8,0.17,1,5,0,0,0,0,0,0,21,4.8,12:31,56.2
Brandon Montour,20202021,BUF,R,D,24,1,4,5,-12,14,0.21,1,5,0,0,0,0,0,0,41,2.4,20:55,--
Julien Gauthier,20202021,NYR,R,R,19,1,4,5,-2,6,0.26,1,5,0,0,0,0,0,0,25,4,10:05,50
Ben Chiarot,20202021,MTL,L,D,25,1,4,5,-2,44,0.2,0,4,1,1,0,0,0,0,55,1.8,21:22,--
Alexander Romanov,20202021,MTL,L,D,26,1,4,5,4,10,0.19,1,4,0,1,0,0,0,0,43,2.3,17:41,--
Derek Ryan,20202021,CGY,R,C,15,1,4,5,4,4,0.33,1,5,0,0,0,0,0,0,9,11.1,10:54,53.5
Pierre-Olivier Joseph,20202021,PIT,L,D,16,1,4,5,1,6,0.31,1,5,0,0,0,0,0,0,27,3.7,16:47,--
Ryan Graves,20202021,COL,L,D,25,0,5,5,-1,20,0.2,0,5,0,0,0,0,0,0,53,0,19:14,--
David Savard,20202021,CBJ,R,D,29,0,5,5,-10,18,0.17,0,4,0,0,0,1,0,0,32,0,19:32,--
Philippe Myers,20202021,PHI,R,D,17,0,5,5,-2,4,0.29,0,5,0,0,0,0,0,0,27,0,18:05,--
Radko Gudas,20202021,FLA,R,D,26,0,5,5,12,21,0.19,0,5,0,0,0,0,0,0,47,0,18:10,--
Jacob Trouba,20202021,NYR,R,D,18,0,5,5,-1,14,0.28,0,5,0,0,0,0,0,0,30,0,21:47,--
Jared Spurgeon,20202021,MIN,R,D,25,0,5,5,1,0,0.2,0,5,0,0,0,0,0,0,50,0,21:49,--
Ryan Carpenter,20202021,CHI,R,C,21,4,0,4,-2,6,0.19,2,2,1,1,1,1,0,0,35,11.4,13:28,41.4
Tobias Rieder,20202021,BUF,L,L,23,4,0,4,-5,0,0.17,4,4,0,0,0,0,0,0,34,11.8,12:20,25
Colton Sissons,20202021,NSH,R,C,29,4,0,4,-1,12,0.14,4,4,0,0,0,0,0,0,26,15.4,14:02,51.2
Mikhail Maltsev,20202021,NJD,L,L,13,4,0,4,3,4,0.31,4,4,0,0,0,0,0,0,23,17.4,10:48,41
Rocco Grimaldi,20202021,NSH,R,R,21,3,1,4,-10,4,0.19,3,4,0,0,0,0,0,0,28,10.7,12:34,--
Kyle Clifford,20202021,STL,L,L,26,3,1,4,-1,19,0.15,3,4,0,0,0,0,0,0,35,8.6,9:07,100
Trent Frederic,20202021,BOS,L,C,25,3,1,4,-3,53,0.16,3,4,0,0,0,0,0,2,30,10,11:47,52.8
J.T. Compher,20202021,COL,R,L,21,2,2,4,-2,15,0.19,1,2,1,2,0,0,0,0,22,9.1,15:07,46
Artturi Lehkonen,20202021,MTL,L,L,21,2,2,4,-2,2,0.19,0,2,0,0,2,2,0,0,33,6.1,13:07,50
Marc Staal,20202021,DET,L,D,29,2,2,4,-3,12,0.14,2,4,0,0,0,0,0,0,30,6.7,18:28,--
Brendan Smith,20202021,NYR,L,D,19,2,2,4,1,17,0.21,2,4,0,0,0,0,0,0,26,7.7,16:06,--
Kaapo Kakko,20202021,NYR,L,R,19,2,2,4,-2,8,0.21,2,4,0,0,0,0,0,0,38,5.3,15:18,40
Sean Kuraly,20202021,BOS,L,C,23,2,2,4,-7,10,0.17,2,3,0,0,0,1,0,2,43,4.7,13:56,59.2
Patrik Nemeth,20202021,DET,L,D,28,2,2,4,-4,14,0.14,2,4,0,0,0,0,0,0,36,5.6,19:06,--
Marco Scandella,20202021,STL,L,D,21,2,2,4,4,14,0.19,2,3,0,0,0,1,0,1,22,9.1,19:38,--
Cedric Paquette,20202021,"OTT,CAR",L,C,24,2,2,4,-10,6,0.17,2,4,0,0,0,0,0,0,10,20,9:30,41.4
Artem Anisimov,20202021,OTT,L,C,14,2,2,4,-3,2,0.29,1,3,1,1,0,0,0,0,19,10.5,11:44,40.4
Mike Matheson,20202021,PIT,L,D,19,2,2,4,4,18,0.21,2,4,0,0,0,0,0,0,32,6.3,19:48,--
Mark Jankowski,20202021,PIT,L,C,24,2,2,4,-3,0,0.17,2,4,0,0,0,0,0,0,23,8.7,10:35,43
Blake Lizotte,20202021,LAK,L,C,21,2,2,4,-4,8,0.19,2,4,0,0,0,0,0,0,17,11.8,12:32,52.6
Kurtis MacDermid,20202021,LAK,L,D,16,2,2,4,-5,14,0.25,2,4,0,0,0,0,0,0,12,16.7,14:02,--
Evgeny Svechnikov,20202021,DET,L,R,4,2,2,4,-2,2,1,1,2,1,2,0,0,0,1,6,33.3,11:20,0
Yakov Trenin,20202021,NSH,L,C,18,2,2,4,3,2,0.22,2,4,0,0,0,0,0,0,19,10.5,10:10,33.3
Ian Mitchell,20202021,CHI,R,D,27,2,2,4,-7,8,0.15,2,4,0,0,0,0,0,0,20,10,15:34,--
Andrew Shaw,20202021,CHI,R,R,14,2,2,4,-5,6,0.29,0,0,2,4,0,0,0,0,25,8,15:07,53.6
Justin Dowling,20202021,DAL,L,C,11,1,3,4,-2,4,0.36,1,3,0,1,0,0,0,0,14,7.1,12:04,41.5
Christopher Tanev,20202021,CGY,R,D,28,1,3,4,5,4,0.14,1,4,0,0,0,0,0,0,33,3,21:34,--
John Marino,20202021,PIT,R,D,25,1,3,4,2,6,0.16,1,4,0,0,0,0,0,0,23,4.4,22:57,--
Casey Mittelstadt,20202021,BUF,L,C,11,1,3,4,-6,0,0.36,0,2,1,2,0,0,0,0,12,8.3,13:02,50
Devin Shore,20202021,EDM,L,C,16,1,3,4,-3,2,0.25,0,3,0,0,1,1,0,0,7,14.3,9:41,46.7
Evan Bouchard,20202021,EDM,R,D,12,1,3,4,0,2,0.33,1,4,0,0,0,0,0,0,34,2.9,14:08,--
Kyle Turris,20202021,EDM,R,C,21,1,3,4,-11,8,0.19,1,4,0,0,0,0,0,0,20,5,12:08,48.9
Nicolas Roy,20202021,VGK,R,C,23,1,3,4,4,8,0.17,1,4,0,0,0,0,0,0,19,5.3,13:16,51.3
Brendan Lemieux,20202021,NYR,L,L,24,1,3,4,1,46,0.17,1,4,0,0,0,0,0,0,25,4,10:43,21.1
Vladimir Tarasenko,20202021,STL,L,R,4,1,3,4,-3,0,1,1,3,0,1,0,0,0,0,11,9.1,19:08,--
Cody Eakin,20202021,BUF,L,C,26,1,3,4,-7,6,0.15,1,4,0,0,0,0,0,0,22,4.6,13:17,57.5
Givani Smith,20202021,DET,L,R,8,1,3,4,0,11,0.5,1,4,0,0,0,0,0,1,10,10,9:55,--
Marc-Edouard Vlasic,20202021,SJS,L,D,25,1,3,4,-6,2,0.16,1,4,0,0,0,0,0,0,22,4.6,19:09,--
Dean Kukan,20202021,CBJ,L,D,18,1,3,4,1,4,0.22,1,4,0,0,0,0,0,0,13,7.7,13:39,--
Jakub Zboril,20202021,BOS,L,D,23,0,4,4,-2,8,0.17,0,3,0,1,0,0,0,0,17,0,17:55,--
Niklas Hjalmarsson,20202021,ARI,L,D,25,0,4,4,-2,14,0.16,0,4,0,0,0,0,0,0,18,0,18:02,--
Derek Grant,20202021,ANA,L,C,22,0,4,4,-4,15,0.18,0,4,0,0,0,0,0,0,28,0,14:26,49
Brett Kulak,20202021,MTL,L,D,23,0,4,4,5,16,0.17,0,4,0,0,0,0,0,0,21,0,14:31,--
Dylan DeMelo,20202021,WPG,R,D,23,0,4,4,4,6,0.17,0,4,0,0,0,0,0,0,18,0,16:21,--
Jon Merrill,20202021,DET,L,D,23,0,4,4,5,6,0.17,0,4,0,0,0,0,0,0,23,0,20:16,--
Michael Rasmussen,20202021,DET,L,C,13,0,4,4,-4,10,0.31,0,3,0,1,0,0,0,0,12,0,12:37,39.1
Juho Lammikko,20202021,FLA,L,C,21,3,0,3,-1,2,0.14,3,3,0,0,0,0,0,0,20,15,10:01,46.7
Jake Virtanen,20202021,VAN,R,R,26,3,0,3,-2,26,0.12,2,2,1,1,0,0,0,1,38,7.9,12:01,85.7
Logan O'Connor,20202021,COL,R,R,15,3,0,3,2,6,0.2,3,3,0,0,0,0,0,0,25,12,11:16,50
Dmitry Orlov,20202021,WSH,L,D,22,3,0,3,-4,6,0.14,3,3,0,0,0,0,0,1,30,10,18:47,--
Kieffer Bellows,20202021,NYI,L,L,10,3,0,3,1,2,0.3,3,3,0,0,0,0,0,1,14,21.4,10:40,66.7
Noah Gregor,20202021,SJS,L,C,15,3,0,3,-8,4,0.2,3,3,0,0,0,0,0,0,23,13,10:56,26.1
Tomas Nosek,20202021,VGK,L,L,17,2,1,3,-3,4,0.18,2,3,0,0,0,0,0,0,20,10,12:19,54.6
Barrett Hayton,20202021,ARI,L,C,14,2,1,3,-1,0,0.21,2,3,0,0,0,0,0,0,10,20,11:29,50
Brandon Carlo,20202021,BOS,R,D,21,2,1,3,2,10,0.14,2,3,0,0,0,0,0,1,29,6.9,18:51,--
Marcus Johansson,20202021,MIN,L,C,11,2,1,3,-2,4,0.27,2,3,0,0,0,0,1,1,11,18.2,15:44,31
Chris Wagner,20202021,BOS,R,R,23,2,1,3,-8,19,0.13,1,2,0,0,1,1,0,0,28,7.1,11:46,50
Nico Hischier,20202021,NJD,L,C,5,2,1,3,0,2,0.6,1,2,1,1,0,0,0,0,10,20,17:22,58.4
Colton Sceviour,20202021,PIT,R,C,19,2,1,3,-4,0,0.16,2,3,0,0,0,0,0,0,17,11.8,8:01,50
Jack Studnicka,20202021,BOS,R,C,16,1,2,3,-1,0,0.19,1,3,0,0,0,0,0,0,22,4.6,13:12,45.1
Radim Simek,20202021,SJS,L,D,19,1,2,3,-1,4,0.16,1,3,0,0,0,0,0,0,12,8.3,14:04,--
Anders Bjork,20202021,BOS,L,L,23,1,2,3,-3,10,0.13,1,3,0,0,0,0,0,0,14,7.1,11:55,--
Will Butcher,20202021,NJD,L,D,8,1,2,3,0,0,0.38,1,3,0,0,0,0,0,0,13,7.7,17:00,--
Lawson Crouse,20202021,ARI,L,L,25,1,2,3,-11,13,0.12,1,2,0,1,0,0,0,0,26,3.9,14:29,44.4
Trevor Lewis,20202021,WPG,R,C,27,1,2,3,2,0,0.11,0,2,0,0,1,1,0,0,29,3.5,8:59,60
Josh Mahura,20202021,ANA,L,D,10,1,2,3,-2,4,0.3,1,3,0,0,0,0,0,0,11,9.1,15:39,--
Brett Ritchie,20202021,CGY,R,R,7,1,2,3,0,6,0.43,1,3,0,0,0,0,0,0,7,14.3,9:17,0
Mathieu Olivier,20202021,NSH,R,R,17,1,2,3,-2,31,0.18,0,2,1,1,0,0,0,0,15,6.7,10:18,50
Brett Connolly,20202021,FLA,R,R,16,1,2,3,4,0,0.19,1,3,0,0,0,0,0,0,13,7.7,11:45,28.6
Gabriel Carlsson,20202021,CBJ,L,D,10,1,2,3,-3,4,0.3,1,2,0,1,0,0,0,0,8,12.5,14:41,--
Scott Harrington,20202021,CBJ,L,D,6,1,2,3,0,4,0.5,1,2,0,0,0,1,0,0,3,33.3,14:47,--
Anthony Bitetto,20202021,NYR,L,D,9,1,2,3,-3,13,0.33,1,2,0,1,0,0,0,0,9,11.1,14:03,--
Nicholas Merkley,20202021,NJD,L,R,5,1,2,3,2,0,0.6,1,3,0,0,0,0,0,0,7,14.3,11:07,33.3
Ty Dellandrea,20202021,DAL,R,C,15,1,2,3,2,12,0.2,0,1,1,2,0,0,0,0,21,4.8,13:00,47
Darren Helm,20202021,DET,L,L,20,1,2,3,-6,6,0.15,1,3,0,0,0,0,0,0,40,2.5,13:54,66.7
Erik Gudbranson,20202021,OTT,R,D,31,1,2,3,-14,45,0.1,1,3,0,0,0,0,0,1,47,2.1,18:41,--
Brad Richardson,20202021,NSH,L,R,12,1,2,3,0,2,0.25,1,3,0,0,0,0,0,1,10,10,12:17,54.4
Evan Rodrigues,20202021,PIT,R,C,11,1,2,3,0,0,0.27,1,3,0,0,0,0,0,0,16,6.3,15:24,54.8
Antoine Roussel,20202021,VAN,L,L,29,1,2,3,3,35,0.1,1,2,0,0,0,1,0,0,24,4.2,11:47,33.3
Tyson Jost,20202021,COL,L,C,24,1,2,3,-1,12,0.13,1,3,0,0,0,0,0,0,37,2.7,13:45,46.2
Danny DeKeyser,20202021,DET,L,D,20,1,2,3,-2,8,0.15,1,3,0,0,0,0,0,0,18,5.6,17:05,--
Ian Cole,20202021,"COL,MIN",L,D,24,1,2,3,11,16,0.13,1,3,0,0,0,0,0,1,17,5.9,16:02,--
Jake McCabe,20202021,BUF,L,D,13,1,2,3,2,9,0.23,1,3,0,0,0,0,0,0,15,6.7,19:11,--
Zack Kassian,20202021,EDM,R,R,13,1,2,3,-3,9,0.23,1,3,0,0,0,0,0,0,12,8.3,12:26,0
Kale Clague,20202021,LAK,L,D,11,0,3,3,-3,4,0.27,0,3,0,0,0,0,0,0,20,0,18:41,--
Mikko Lehtonen,20202021,TOR,L,D,9,0,3,3,1,4,0.33,0,2,0,1,0,0,0,0,9,0,11:52,--
Jacob Larsson,20202021,ANA,L,D,29,0,3,3,-12,6,0.1,0,2,0,0,0,1,0,0,25,0,16:51,--
Sean Walker,20202021,LAK,R,D,18,0,3,3,-6,2,0.17,0,2,0,1,0,0,0,0,25,0,17:02,--
Keegan Kolesar,20202021,VGK,R,R,21,0,3,3,-3,14,0.14,0,3,0,0,0,0,0,0,15,0,8:54,52.5
Dan Renouf,20202021,COL,L,D,9,0,3,3,1,5,0.33,0,3,0,0,0,0,0,0,7,0,11:34,--
Jeremy Lauzon,20202021,BOS,L,D,16,0,3,3,-2,23,0.19,0,3,0,0,0,0,0,0,23,0,18:32,--
Lucas Wallmark,20202021,CHI,L,C,14,0,3,3,-1,4,0.21,0,0,0,2,0,1,0,0,7,0,11:51,40.5
Brian Dumoulin,20202021,PIT,L,D,12,0,3,3,3,2,0.25,0,2,0,0,0,1,0,0,15,0,22:13,--
Gemel Smith,20202021,TBL,L,C,4,0,3,3,3,9,0.75,0,3,0,0,0,0,0,0,0,--,9:42,42.9
Ryan Murray,20202021,NJD,L,D,17,0,3,3,3,6,0.18,0,3,0,0,0,0,0,0,12,0,19:00,--
Kyle Okposo,20202021,BUF,R,R,21,0,3,3,-6,0,0.14,0,3,0,0,0,0,0,0,25,0,12:49,33.3
Brady Skjei,20202021,CAR,L,D,27,0,3,3,2,18,0.11,0,2,0,0,0,1,0,0,42,0,20:47,--
Markus Nutivaara,20202021,FLA,L,D,9,0,3,3,-2,4,0.33,0,3,0,0,0,0,0,0,8,0,15:24,--
Liam Foudy,20202021,CBJ,L,C,12,0,3,3,0,2,0.25,0,3,0,0,0,0,0,0,25,0,13:46,33.3
Connor Clifton,20202021,BOS,R,D,18,0,3,3,2,9,0.17,0,3,0,0,0,0,0,0,16,0,18:57,--
David Backes,20202021,ANA,R,R,10,2,0,2,-3,2,0.2,2,2,0,0,0,0,0,1,24,8.3,13:22,49.2
Morgan Geekie,20202021,CAR,R,C,11,2,0,2,-3,4,0.18,0,0,2,2,0,0,0,0,9,22.2,9:53,54.6
Gaetan Haas,20202021,EDM,R,C,15,2,0,2,0,4,0.13,2,2,0,0,0,0,0,1,11,18.2,11:35,42.6
Robert Hagg,20202021,PHI,L,D,20,1,1,2,0,10,0.1,1,2,0,0,0,0,0,0,18,5.6,14:52,--
Henri Jokiharju,20202021,BUF,R,D,18,1,1,2,-7,0,0.11,1,2,0,0,0,0,0,0,19,5.3,17:33,--
Marcus Pettersson,20202021,PIT,L,D,18,1,1,2,1,10,0.11,1,2,0,0,0,0,0,0,13,7.7,17:44,--
Mikko Koivu,20202021,CBJ,L,C,7,1,1,2,-2,2,0.29,1,2,0,0,0,0,0,0,3,33.3,12:28,45.7
Dryden Hunt,20202021,ARI,L,L,7,1,1,2,-2,4,0.29,1,2,0,0,0,0,0,0,8,12.5,11:33,25
Mark Friedman,20202021,"PHI,PIT",R,D,6,1,1,2,1,4,0.33,1,2,0,0,0,0,0,0,4,25,9:54,0
Tage Thompson,20202021,BUF,R,R,11,1,1,2,-3,2,0.18,1,2,0,0,0,0,0,0,20,5,13:03,50
Ben Hutton,20202021,ANA,L,D,23,1,1,2,-11,4,0.09,1,2,0,0,0,0,0,0,34,2.9,18:26,--
Ryan Lomberg,20202021,FLA,L,L,18,1,1,2,1,9,0.11,1,2,0,0,0,0,0,0,25,4,9:44,--
Mackenzie MacEachern,20202021,STL,L,L,17,1,1,2,2,4,0.12,0,1,0,0,1,1,0,0,21,4.8,9:29,50
Steven Lorentz,20202021,CAR,L,C,16,1,1,2,-1,6,0.13,1,2,0,0,0,0,0,1,12,8.3,10:09,54.6
Marcus Sorensen,20202021,SJS,L,L,15,1,1,2,-4,4,0.13,1,2,0,0,0,0,0,0,19,5.3,11:38,42.9
Matt Benning,20202021,NSH,R,D,28,1,1,2,-5,24,0.07,1,1,0,0,0,1,0,0,23,4.4,15:20,--
Andrej Sekera,20202021,DAL,L,D,18,1,1,2,3,4,0.11,1,2,0,0,0,0,0,0,14,7.1,16:00,--
Jeff Skinner,20202021,BUF,L,L,23,1,1,2,-8,10,0.09,1,2,0,0,0,0,0,0,45,2.2,13:41,50
Taro Hirose,20202021,DET,L,L,6,0,2,2,2,0,0.33,0,2,0,0,0,0,0,0,10,0,14:22,50
Jason Demers,20202021,ARI,R,D,20,0,2,2,-1,16,0.1,0,2,0,0,0,0,0,0,18,0,17:42,--
Bowen Byram,20202021,COL,L,D,15,0,2,2,-3,19,0.13,0,2,0,0,0,0,0,0,17,0,17:37,--
Michael Sgarbossa,20202021,WSH,L,C,5,0,2,2,2,0,0.4,0,2,0,0,0,0,0,0,4,0,9:48,34.5
Ryan Reaves,20202021,VGK,R,R,25,0,2,2,-5,18,0.08,0,2,0,0,0,0,0,0,15,0,9:50,20
Robert Bortuzzo,20202021,STL,R,D,18,0,2,2,-3,12,0.11,0,2,0,0,0,0,0,0,16,0,14:00,--
Ethan Bear,20202021,EDM,R,D,18,0,2,2,2,6,0.11,0,2,0,0,0,0,0,0,20,0,18:10,--
Carl Gunnarsson,20202021,STL,L,D,12,0,2,2,-2,6,0.17,0,2,0,0,0,0,0,0,6,0,14:26,--
William Carrier,20202021,VGK,L,L,22,0,2,2,-4,8,0.09,0,2,0,0,0,0,0,0,20,0,9:47,--
Kiefer Sherwood,20202021,COL,R,L,6,0,2,2,1,0,0.33,0,2,0,0,0,0,0,0,5,0,8:48,50
Brett Howden,20202021,NYR,L,C,25,0,2,2,-4,9,0.08,0,2,0,0,0,0,0,0,18,0,13:02,48.2
Patrick Russell,20202021,EDM,R,R,7,0,2,2,1,0,0.29,0,2,0,0,0,0,0,0,10,0,10:39,0
Matt Irwin,20202021,BUF,L,D,13,0,2,2,-5,6,0.15,0,2,0,0,0,0,0,0,16,0,18:19,--
Tanner Kero,20202021,DAL,L,C,11,0,2,2,0,2,0.18,0,2,0,0,0,0,0,0,10,0,11:18,60
William Lagesson,20202021,EDM,L,D,11,0,2,2,6,2,0.18,0,2,0,0,0,0,0,0,7,0,14:27,--
